                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.84514,                0.57155,                 1.1454,                0.88203,                0.83441,                0.90317,                0.65748,                0.97069,                0.55609,                 1.1839,                0.00406,                0.00406,                0.00406
                    123,                0.84233,                0.56664,                 1.1434,                0.88223,                0.83598,                0.90389,                 0.6581,                0.97096,                0.55534,                 1.1844,              0.0040105,              0.0040105,              0.0040105
                    124,                0.84387,                0.57029,                  1.144,                0.88261,                0.83564,                0.90359,                0.65823,                0.97057,                0.55435,                 1.1842,               0.003961,               0.003961,               0.003961
                    125,                0.83868,                0.56055,                 1.1384,                0.88321,                0.83786,                0.90367,                0.65821,                0.97043,                0.55291,                  1.184,              0.0039115,              0.0039115,              0.0039115
                    126,                0.83534,                0.55802,                 1.1374,                0.88513,                0.83738,                 0.9036,                 0.6586,                0.97071,                0.55194,                 1.1843,               0.003862,               0.003862,               0.003862
                    127,                0.83678,                0.55925,                 1.1397,                0.88454,                0.84102,                 0.9036,                0.65854,                0.97054,                0.55186,                 1.1845,              0.0038125,              0.0038125,              0.0038125
                    128,                0.83814,                0.55823,                 1.1408,                0.88668,                  0.837,                0.90337,                0.65865,                0.97044,                 0.5516,                 1.1847,               0.003763,               0.003763,               0.003763
                    129,                0.82712,                0.55345,                 1.1353,                0.88757,                0.83528,                0.90334,                0.65855,                0.97071,                0.55132,                 1.1853,              0.0037135,              0.0037135,              0.0037135
                    130,                0.82751,                0.55168,                 1.1327,                0.88801,                0.83453,                0.90289,                0.65875,                0.97049,                0.55107,                 1.1854,               0.003664,               0.003664,               0.003664
                    131,                 0.8246,                0.54702,                 1.1299,                0.88617,                0.83525,                  0.903,                0.65892,                0.97064,                0.55058,                  1.186,              0.0036145,              0.0036145,              0.0036145
                    132,                0.82144,                0.54496,                 1.1276,                 0.8828,                 0.8373,                0.90282,                0.65944,                0.97002,                0.55039,                 1.1858,               0.003565,               0.003565,               0.003565
                    133,                0.81994,                0.54243,                 1.1295,                0.88154,                0.84033,                0.90283,                0.65967,                 0.9701,                0.55024,                 1.1865,              0.0035155,              0.0035155,              0.0035155
